molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL221371,COc1cc(O)c2c(=O)c3c(oc2c1)C(OC)Oc1c(O)cccc1-3,active,342.30300000000005,2.917200000000001,2.0,7.0,6.154901959985743
CHEMBL243813,COc1cccc2[nH]c3ccccc3c(=O)c12,inactive,225.24699999999999,2.6899000000000006,1.0,2.0,5.200659450546418
CHEMBL243168,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccc(OC)cc4[nH]c23)cc1,active,402.4500000000001,3.671000000000002,2.0,4.0,6.251811972993799
CHEMBL243167,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1OC,active,402.4500000000001,3.671000000000002,2.0,4.0,6.346787486224656
CHEMBL397235,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1,active,372.42400000000004,3.6624000000000017,2.0,3.0,6.455931955649724
CHEMBL242513,COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12,active,293.2440000000001,3.708700000000002,1.0,2.0,6.113509274827518
CHEMBL243814,COc1cc(OC)c2c(=O)c3ccccc3[nH]c2c1,inactive,255.27300000000002,2.6985,1.0,3.0,5.102372908709558
CHEMBL242512,COc1ccc2[nH]c3ccccc3c(=O)c2c1OC,inactive,255.27299999999997,2.698500000000001,1.0,3.0,4.698970004336019
CHEMBL242943,O=c1c2ccccc2[nH]c2cc(C(F)(F)F)cc(O)c12,inactive,279.217,3.405700000000001,2.0,2.0,4.698970004336019
CHEMBL242942,COc1cc(O)c2c(=O)c3ccccc3[nH]c2c1,inactive,241.246,2.3955,2.0,3.0,4.698970004336019
CHEMBL242515,O=c1c2ccccc2[nH]c2ccc(O)cc12,inactive,211.22,2.3869,2.0,2.0,4.698970004336019
CHEMBL397685,O=c1c2ccccc2[nH]c2cccc(O)c12,inactive,211.22,2.3869000000000002,2.0,2.0,4.698970004336019
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,active,563.6540000000001,5.5602000000000045,2.0,6.0,6.3872161432802645
CHEMBL258610,COc1cccc(CCc2ccccc2OCc2cccc(OC)c2OC)c1,inactive,378.46800000000013,5.076600000000004,0.0,4.0,3.9208187539523753
CHEMBL272836,COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,inactive,378.46800000000013,5.076600000000004,0.0,4.0,3.8239087409443187
CHEMBL272036,COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1,active,377.48400000000015,5.109700000000005,1.0,4.0,6.301029995663981
CHEMBL410316,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,inactive,379.4600000000002,2.9417000000000018,1.0,3.0,4.958607314841775
CHEMBL500094,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2,active,600.719,6.665820000000007,2.0,6.0,5.701146923590294
CHEMBL453516,COc1cc(NC(=O)c2cnc3ccccc3c2)cc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)c1,active,616.7180000000003,6.366000000000006,2.0,7.0,6.0101054362812265
