molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL221371,COc1cc(O)c2c(=O)c3c(oc2c1)C(OC)Oc1c(O)cccc1-3,700.0,active
CHEMBL222265,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1cccc(O)c1OC3OC,2500.0,intermediate
CHEMBL243813,COc1cccc2[nH]c3ccccc3c(=O)c12,6300.0,inactive
CHEMBL243169,COc1ccc2c(=O)c3cccc(C(=O)NCCc4ccc(OC)c(OC)c4)c3[nH]c2c1,1380.0,intermediate
CHEMBL243168,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccc(OC)cc4[nH]c23)cc1,560.0,active
CHEMBL243167,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1OC,450.0,active
CHEMBL397235,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1,350.0,active
CHEMBL242513,COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12,770.0,active
CHEMBL243814,COc1cc(OC)c2c(=O)c3ccccc3[nH]c2c1,7900.0,inactive
CHEMBL388886,COc1ccc2[nH]c3ccccc3c(=O)c2c1,4800.0,intermediate
CHEMBL242512,COc1ccc2[nH]c3ccccc3c(=O)c2c1OC,20000.0,inactive
CHEMBL242943,O=c1c2ccccc2[nH]c2cc(C(F)(F)F)cc(O)c12,20000.0,inactive
CHEMBL242942,COc1cc(O)c2c(=O)c3ccccc3[nH]c2c1,20000.0,inactive
CHEMBL242515,O=c1c2ccccc2[nH]c2ccc(O)cc12,20000.0,inactive
CHEMBL397685,O=c1c2ccccc2[nH]c2cccc(O)c12,20000.0,inactive
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,410.0,active
CHEMBL258610,COc1cccc(CCc2ccccc2OCc2cccc(OC)c2OC)c1,120000.0,inactive
CHEMBL272836,COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,150000.0,inactive
CHEMBL272423,COc1cccc(CCc2ccccc2NCc2cccc(OC)c2OC)c1,1500.0,intermediate
CHEMBL272036,COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1,500.0,active
CHEMBL410316,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,11000.0,inactive
CHEMBL500094,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2,1990.0,active
CHEMBL453516,COc1cc(NC(=O)c2cnc3ccccc3c2)cc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)c1,977.0,active
CHEMBL506742,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(NC(=O)c4cnc5ccccc5c4)c(OC)c(OC)c3)cc1)CC2,858.0,intermediate
CHEMBL446339,COc1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,317.0,active
CHEMBL456361,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cccnc1,1015.0,active
CHEMBL501349,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnccn1,632.0,active
CHEMBL457439,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc(C)cn1,552.0,active
CHEMBL455275,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,179.0,active
CHEMBL506278,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2n1,183.0,active
CHEMBL502503,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1,60.0,active
CHEMBL453536,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,119.0,active
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,916.0,active
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,250.0,inactive
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,225.0,inactive
CHEMBL475554,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1[N+](=O)[O-],6760.0,intermediate
CHEMBL475362,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2,10200.0,inactive
CHEMBL474972,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,3890.0,inactive
CHEMBL472819,Nc1ccccc1NC(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,102000.0,inactive
CHEMBL472818,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3N)cc1)CC2,66100.0,inactive
CHEMBL474757,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc(N)cc3)cc1)CC2,74100.0,inactive
CHEMBL258456,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-],51300.0,inactive
CHEMBL442464,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc1)CC2,77600.0,inactive
CHEMBL555611,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,6920.0,inactive
CHEMBL259077,Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,17800.0,inactive
CHEMBL429515,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3N)cc1)CC2,32400.0,inactive
CHEMBL261632,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(N)cc3)cc1)CC2,219000.0,active
CHEMBL595550,COc1ccc(C(=O)Nc2ccccc2NC(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,10200.0,active
CHEMBL247473,COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,930.0,active
CHEMBL595493,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,690.0,active
CHEMBL594336,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,540.0,inactive
