activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,1831438,[],CHEMBL919518,Inhibition of BCRP expressed in human HEK293 cells assessed as maximal mitoxantrone accumulation,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(O)c2c(=O)c3c(oc2c1)C(OC)Oc1c(O)cccc1-3,,,CHEMBL1142979,J. Med. Chem.,2007,"{'bei': '17.98', 'le': '0.34', 'lle': '3.23', 'sei': '6.26'}",CHEMBL221371,BOERAVINONE G,CHEMBL221371,6.16,False,http://www.openphacts.org/units/Nanomolar,627980,=,1,True,=,,IC50,nM,,700.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.7
,1831439,[],CHEMBL919518,Inhibition of BCRP expressed in human HEK293 cells assessed as maximal mitoxantrone accumulation,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc2oc3c(c(=O)c2c(O)c1C)-c1cccc(O)c1OC3OC,,,CHEMBL1142979,J. Med. Chem.,2007,"{'bei': '15.72', 'le': '0.29', 'lle': '2.37', 'sei': '5.70'}",CHEMBL222265,BOERAVINONE H,CHEMBL222265,5.60,False,http://www.openphacts.org/units/Nanomolar,627981,=,1,True,=,,IC50,nM,,2500.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,2.5
,1940569,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cccc2[nH]c3ccccc3c(=O)c12,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '23.09', 'le': '0.42', 'lle': '2.51', 'sei': '12.36'}",CHEMBL243813,,CHEMBL243813,5.20,False,http://www.openphacts.org/units/Nanomolar,649844,=,1,True,=,,IC50,nM,,6300.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,6.3
,1940570,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2c(=O)c3cccc(C(=O)NCCc4ccc(OC)c(OC)c4)c3[nH]c2c1,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '13.55', 'le': '0.25', 'lle': '2.18', 'sei': '6.54'}",CHEMBL243169,,CHEMBL243169,5.86,False,http://www.openphacts.org/units/Nanomolar,649856,=,1,True,=,,IC50,nM,,1380.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,1.38
,1940571,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccc(OC)cc4[nH]c23)cc1,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '15.53', 'le': '0.28', 'lle': '2.58', 'sei': '7.77'}",CHEMBL243168,,CHEMBL243168,6.25,False,http://www.openphacts.org/units/Nanomolar,649855,=,1,True,=,,IC50,nM,,560.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.56
,1940572,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1OC,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '15.77', 'le': '0.29', 'lle': '2.68', 'sei': '7.89'}",CHEMBL243167,,CHEMBL243167,6.35,False,http://www.openphacts.org/units/Nanomolar,649854,=,1,True,=,,IC50,nM,,450.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.45
,1940573,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc(CCNC(=O)c2cccc3c(=O)c4ccccc4[nH]c23)cc1,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '17.34', 'le': '0.31', 'lle': '2.80', 'sei': '9.07'}",CHEMBL397235,,CHEMBL397235,6.46,False,http://www.openphacts.org/units/Nanomolar,649853,=,1,True,=,,IC50,nM,,350.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.35
,1940574,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(C(F)(F)F)cc2[nH]c3ccccc3c(=O)c12,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '20.85', 'le': '0.40', 'lle': '2.40', 'sei': '14.52'}",CHEMBL242513,,CHEMBL242513,6.11,False,http://www.openphacts.org/units/Nanomolar,649848,=,1,True,=,,IC50,nM,,770.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,0.77
,1940575,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1cc(OC)c2c(=O)c3ccccc3[nH]c2c1,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '19.99', 'le': '0.37', 'lle': '2.40', 'sei': '9.94'}",CHEMBL243814,,CHEMBL243814,5.10,False,http://www.openphacts.org/units/Nanomolar,649846,=,1,True,=,,IC50,nM,,7900.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,7.9
,1940576,[],CHEMBL892735,Inhibition of ABCG2 expressed in HEK293 cells assessed as mitoxantrone-mediated efflux by flow cytometry,B,,,BAO_0000190,BAO_0000219,cell-based format,COc1ccc2[nH]c3ccccc3c(=O)c2c1,,,CHEMBL1147844,Bioorg. Med. Chem.,2007,"{'bei': '23.61', 'le': '0.43', 'lle': '2.63', 'sei': '12.64'}",CHEMBL388886,,CHEMBL388886,5.32,False,http://www.openphacts.org/units/Nanomolar,649845,=,1,True,=,,IC50,nM,,4800.0,CHEMBL5393,Homo sapiens,ATP-binding cassette sub-family G member 2,9606,,,IC50,uM,UO_0000065,,4.8
